event_id,timestamp_open,datetime_open_utc,event_type,entry_price,fwd_ret_15m,fwd_ret_30m,fwd_ret_1h,fwd_ret_2h,fwd_ret_4h,fwd_ret_8h,fwd_ret_12h,fwd_ret_24h
5m_3245,1777888800000,2026-05-04 10:00:00+00:00,BREAKDOWN_CANDIDATE,79231.81,-0.01061,-0.00347,-0.00386,-0.00527,-0.00785,0.01511,0.01396,0.01734
5m_3247,1777889700000,2026-05-04 10:15:00+00:00,BREAKDOWN_CANDIDATE,78391.12,0.00721,0.00867,0.00903,0.00721,0.00847,0.02378,0.0243,0.02958
5m_3248,1777890000000,2026-05-04 10:20:00+00:00,BREAKDOWN_CANDIDATE,78256.08,0.00869,0.00863,0.00902,0.00899,0.01302,0.02535,0.02588,0.03147
5m_3281,1778020200000,2026-05-05 22:30:00+00:00,BREAKDOWN_CANDIDATE,81122.01,-0.0006,-0.00035,-0.00328,-0.00148,-0.00073,0.00295,0.01362,0.00228
5m_3286,1778076000000,2026-05-06 14:00:00+00:00,BREAKDOWN_CANDIDATE,81406.79,0.00032,0.00385,0.00255,0.00374,0.00034,0.00046,-0.00363,-0.01189
5m_3304,1778161500000,2026-05-07 13:45:00+00:00,BREAKDOWN_CANDIDATE,80324.67,0.00142,0.00174,-0.00136,-0.00367,-0.00566,-0.00609,-0.00689,-0.00873
5m_3307,1778164200000,2026-05-07 14:30:00+00:00,BREAKDOWN_CANDIDATE,80198.83,0.0002,-0.00074,-0.00277,-0.00381,-0.00019,-0.0056,-0.00689,-0.00084
5m_3404,1778445600000,2026-05-10 20:40:00+00:00,BREAKDOWN_CANDIDATE,80800.0,-0.00081,-0.00174,0.0005,0.01346,0.00986,0.00027,0.00045,0.01264
5m_3418,1778469000000,2026-05-11 03:10:00+00:00,BREAKDOWN_CANDIDATE,80615.01,-0.00015,0.00133,0.00031,0.0028,0.0018,0.0043,0.00492,0.00747
5m_3448,1778599200000,2026-05-12 15:20:00+00:00,BREAKDOWN_CANDIDATE,80240.0,0.00182,0.00218,0.00076,0.00216,0.00648,0.00496,0.00974,-0.01108
5m_3470,1778679300000,2026-05-13 13:35:00+00:00,BREAKDOWN_CANDIDATE,79891.15,-0.00178,-0.00252,-0.00123,-0.008,-0.00669,-0.00501,-0.00541,-0.00039
5m_3472,1778687700000,2026-05-13 15:55:00+00:00,BREAKDOWN_CANDIDATE,78827.21,0.0012,0.00293,0.00357,0.00872,0.01034,0.00617,0.00276,0.03139
5m_3499,1778852100000,2026-05-15 13:35:00+00:00,BREAKDOWN_CANDIDATE,79311.57,-0.00302,-0.0026,-0.00189,-0.00232,0.00207,-0.00262,-0.00352,-0.01796
5m_3600,1779201000000,2026-05-19 14:30:00+00:00,BREAKDOWN_CANDIDATE,76271.04,-0.00018,0.00337,0.00371,0.00642,0.0072,0.00682,0.00589,0.01451
5m_3638,1779370800000,2026-05-21 13:40:00+00:00,BREAKDOWN_CANDIDATE,76756.6,0.00477,0.00429,0.00299,0.00602,0.01488,0.01258,0.00997,0.00577
5m_3757,1779891600000,2026-05-27 14:20:00+00:00,BREAKDOWN_CANDIDATE,74880.0,0.00275,0.00306,0.00694,0.00245,-0.00018,-0.00461,-0.00878,-0.02466
5m_3876,1780245000000,2026-05-31 16:30:00+00:00,BREAKDOWN_CANDIDATE,73438.65,0.00014,0.00078,0.00302,0.00301,0.00327,0.00652,6e-05,-0.03047
5m_3887,1780278600000,2026-06-01 01:50:00+00:00,BREAKDOWN_CANDIDATE,73370.0,0.00204,0.00168,0.00578,0.00522,0.00041,-0.00684,-0.02408,-0.03449
5m_3896,1780321200000,2026-06-01 13:40:00+00:00,BREAKDOWN_CANDIDATE,71599.99,0.00156,0.00098,-0.00151,-0.00455,0.00171,-0.00818,-0.00894,-0.03799
5m_3900,1780326900000,2026-06-01 15:15:00+00:00,BREAKDOWN_CANDIDATE,71254.48,0.00173,-0.00124,-0.00479,0.0039,0.00229,0.00244,-0.0048,-0.04984
