n_event,n_control,cohens_d,ks_stat,ks_pvalue,is_significant_p01,event_mean,control_mean,event_median,control_median,event_p10,event_p90,control_p10,control_p90,shift_direction,offset,feature
7136,4362,-0.0838,0.1043,4.2940218307727005e-26,True,-0.0006,0.0005,-0.0001,0.0002,-0.0115,0.0091,-0.0051,0.007,NEUTRAL,T_minus_8h,return_log_1h
7136,4362,-0.4158,0.178,2.297638147525441e-75,True,-0.018,0.0026,-0.0029,0.0027,-0.1056,0.0343,-0.0379,0.0469,LOWER_PRE_EVENT,T_minus_8h,return_log_24h
7136,4362,-0.3741,0.2038,7.789151151342427e-99,True,-0.0001,0.0,-0.0,0.0,-0.0005,0.0002,-0.0001,0.0002,LOWER_PRE_EVENT,T_minus_8h,trend_slope_24h
7136,4362,0.3303,0.1245,4.901522621897426e-37,True,0.9538,0.7979,0.8257,0.7649,0.4691,1.5492,0.4315,1.1916,HIGHER_PRE_EVENT,T_minus_12h,volatility_compression_ratio
7136,4362,0.3603,0.249,7.443222012322708e-148,True,0.0029,0.0021,0.0019,0.002,0.0008,0.006,0.0012,0.0032,HIGHER_PRE_EVENT,T_minus_12h,volatility_realized_24h
7136,4362,0.3105,0.1703,4.715101618830672e-69,True,0.0736,-0.242,-0.2567,-0.4288,-0.7535,1.201,-0.9067,0.5478,HIGHER_PRE_EVENT,T_minus_12h,volume_zscore_24h
7136,4362,0.077,0.0773,1.6465735965233422e-14,True,0.4889,0.4814,0.4915,0.4926,0.3709,0.6033,0.3641,0.5918,NEUTRAL,T_minus_12h,volume_buy_ratio
7136,4362,-0.1162,0.1069,2.0994319200324642e-27,True,-0.0012,0.0002,-0.0003,-0.0003,-0.0126,0.0088,-0.0054,0.0069,NEUTRAL,T_minus_12h,return_log_1h
7136,4362,-0.3476,0.1589,4.227437230385863e-60,True,-0.018,-0.0009,-0.003,-0.0014,-0.1022,0.0341,-0.0427,0.035,LOWER_PRE_EVENT,T_minus_12h,return_log_24h
7136,4362,-0.4122,0.2029,6.033665394849035e-98,True,-0.0001,0.0,-0.0,0.0,-0.0005,0.0002,-0.0001,0.0002,LOWER_PRE_EVENT,T_minus_12h,trend_slope_24h
7134,4362,-0.5939,0.2669,4.98998345091416e-170,True,0.9901,1.3377,0.8759,1.1993,0.5139,1.5775,0.5607,2.3046,LOWER_PRE_EVENT,T_minus_24h,volatility_compression_ratio
7134,4362,0.1677,0.1746,1.6403040197296743e-72,True,0.0024,0.0022,0.0018,0.0021,0.0008,0.0048,0.0012,0.0032,NEUTRAL,T_minus_24h,volatility_realized_24h
7134,4362,-0.5317,0.303,7.422711744001828e-220,True,0.162,0.8484,-0.1937,0.528,-0.7333,1.3512,-0.566,3.0245,LOWER_PRE_EVENT,T_minus_24h,volume_zscore_24h
7134,4362,-0.0801,0.0944,1.932289047611145e-21,True,0.4904,0.4977,0.4915,0.4955,0.3752,0.6035,0.3936,0.5956,NEUTRAL,T_minus_24h,volume_buy_ratio
7134,4362,0.1209,0.1752,5.324721252304171e-73,True,-0.0006,-0.0021,-0.0001,-0.0009,-0.0101,0.009,-0.0213,0.014,NEUTRAL,T_minus_24h,return_log_1h
7134,4362,-0.1021,0.1164,2.121917007101581e-32,True,-0.0095,-0.0046,-0.0014,-0.0081,-0.0674,0.0345,-0.0604,0.05,NEUTRAL,T_minus_24h,return_log_24h
7134,4362,-0.154,0.0816,3.8468911089826754e-16,True,-0.0,-0.0,-0.0,-0.0,-0.0004,0.0002,-0.0002,0.0002,NEUTRAL,T_minus_24h,trend_slope_24h
