event_bar_idx,event_datetime,control_bar_idx,control_datetime,session,rv_quintile
184849,2022-10-05 12:30:00+00:00,344590,2024-04-12 05:35:00+00:00,0.0,2
184849,2022-10-05 12:30:00+00:00,427600,2025-01-25 11:05:00+00:00,0.0,2
186865,2022-10-12 12:30:00+00:00,575333,2026-06-22 10:10:00+00:00,0.0,1
186865,2022-10-12 12:30:00+00:00,421477,2025-01-04 04:50:00+00:00,0.0,1
186865,2022-10-12 12:30:00+00:00,253417,2023-05-31 15:50:00+00:00,0.0,1
186865,2022-10-12 12:30:00+00:00,399273,2024-10-19 02:30:00+00:00,0.0,1
186865,2022-10-12 12:30:00+00:00,398907,2024-10-17 20:00:00+00:00,0.0,1
192979,2022-11-02 18:00:00+00:00,588492,2026-08-07 02:45:00+00:00,0.0,0
192979,2022-11-02 18:00:00+00:00,208602,2022-12-26 23:55:00+00:00,0.0,0
192979,2022-11-02 18:00:00+00:00,441884,2025-03-16 01:25:00+00:00,0.0,0
192979,2022-11-02 18:00:00+00:00,584033,2026-07-22 15:10:00+00:00,0.0,0
192979,2022-11-02 18:00:00+00:00,484299,2025-08-10 08:00:00+00:00,0.0,0
193777,2022-11-05 12:30:00+00:00,321776,2024-01-24 00:25:00+00:00,0.0,3
193777,2022-11-05 12:30:00+00:00,159781,2022-07-10 11:30:00+00:00,0.0,3
193777,2022-11-05 12:30:00+00:00,388672,2024-09-12 07:05:00+00:00,0.0,3
193777,2022-11-05 12:30:00+00:00,255424,2023-06-07 15:05:00+00:00,0.0,3
193777,2022-11-05 12:30:00+00:00,56069,2021-07-15 02:20:00+00:00,0.0,3
194687,2022-11-08 16:20:00+00:00,158784,2022-07-07 00:25:00+00:00,0.0,4
194687,2022-11-08 16:20:00+00:00,8049,2021-01-28 22:45:00+00:00,0.0,4
194687,2022-11-08 16:20:00+00:00,599,2021-01-03 01:55:00+00:00,0.0,4
194687,2022-11-08 16:20:00+00:00,93586,2021-11-22 15:15:00+00:00,0.0,4
194687,2022-11-08 16:20:00+00:00,534618,2026-02-01 01:15:00+00:00,0.0,4
195032,2022-11-09 21:05:00+00:00,49952,2021-06-23 20:35:00+00:00,0.0,4
195032,2022-11-09 21:05:00+00:00,549390,2026-03-24 08:15:00+00:00,0.0,4
195032,2022-11-09 21:05:00+00:00,406224,2024-11-12 05:45:00+00:00,0.0,4
195032,2022-11-09 21:05:00+00:00,570351,2026-06-05 03:00:00+00:00,0.0,4
195032,2022-11-09 21:05:00+00:00,35645,2021-05-05 04:20:00+00:00,0.0,4
195524,2022-11-11 14:05:00+00:00,10109,2021-02-05 02:25:00+00:00,0.0,4
195524,2022-11-11 14:05:00+00:00,50437,2021-06-25 13:00:00+00:00,0.0,4
