event_family,horizon,window_bars,window_type,n_events,ev_mean_abs_ret_pct,ctrl_mean_abs_ret_pct,vol_ratio,ev_jump_rate_pct,ctrl_jump_rate_pct,jump_multiplier,ev_directional_pos_pct,ctrl_directional_pos_pct,mean_signed_ret_bps
ISOLATED_ONLY,-1h,-12,PRE,190,0.5981133753918643,0.4095484411893384,1.46041799899649,3.684210526315789,1.090909090909091,3.3771898866987438,54.21052631578947,49.63636363636363,9.512259670321187
ISOLATED_ONLY,-15m,-3,PRE,190,0.35960019212770955,0.2056510399560374,1.7485855827376278,6.315789473684211,0.8181818181818182,7.7192888109277105,47.89473684210526,51.45454545454545,2.4387584616695155
MACRO_SCHEDULED,+5m,1,POST,139,0.13466385219627733,0.11596178995538718,1.1612677846754529,1.4388489208633095,1.3636363636363635,1.0551551015193525,48.92086330935252,51.45454545454545,0.48038392435245414
MACRO_SCHEDULED,+15m,3,POST,139,0.19952383223499548,0.20587920490585696,0.9691258677648584,0.0,0.9090909090909091,0.0,52.51798561151079,51.090909090909086,0.04959148024974994
MACRO_SCHEDULED,+30m,6,POST,139,0.2452521557935169,0.2859624331873203,0.8576346739859727,0.0,1.090909090909091,0.0,52.51798561151079,51.63636363636363,-2.0265242972352757
MACRO_SCHEDULED,+1h,12,POST,139,0.3631064874802011,0.3837394996490768,0.9462292560004869,0.0,1.090909090909091,0.0,52.51798561151079,52.81818181818182,-5.572616465245936
MACRO_SCHEDULED,+4h,48,POST,139,1.1753947745536297,0.802415377805241,1.464819022972281,2.158273381294964,0.45454545454545453,4.748190992828738,47.482014388489205,52.36363636363637,-15.219688146824591
MACRO_SCHEDULED,+12h,144,POST,139,1.8430062310767035,1.4392783568175658,1.2805062633232163,2.158273381294964,0.45454545454545453,4.748190992828738,53.23741007194245,50.90909090909091,-9.543537505096653
MACRO_SCHEDULED,+24h,288,POST,139,2.2422331831321194,2.0943799029508114,1.0705947423283872,0.7194244604316548,0.5454545454545455,1.3189424260635858,46.043165467625904,48.90909090909091,1.5903791302570476
MACRO_SCHEDULED,+48h,576,POST,139,3.2485186720869805,2.8715039526693125,1.1312948177460747,2.158273381294964,0.45454545454545453,4.748190992828738,56.11510791366906,52.27272727272727,69.16762653274641
MACRO_SCHEDULED,-24h,-288,PRE,139,1.9173694450450585,2.2748300492704345,0.8428623504413577,0.7194244604316548,1.090909090909091,0.6594718175465174,52.51798561151079,51.090909090909086,-1.4820670334180053
MACRO_SCHEDULED,-12h,-144,PRE,139,1.254897918644387,1.5334003076354825,0.8183754066177561,0.7194244604316548,0.8181818181818182,0.8792954880553148,49.64028776978417,51.72727272727272,-21.89840734486716
MACRO_SCHEDULED,-4h,-48,PRE,139,0.7368810072933452,0.8461507836784508,0.8708614949553424,0.7194244604316548,1.2727272727272727,0.5652616319193036,55.39568345323741,52.0,-2.4067064387038823
MACRO_SCHEDULED,-1h,-12,PRE,139,0.3788941006818133,0.4095484411893384,0.9251486208392777,0.0,1.090909090909091,0.0,50.35971223021583,49.63636363636363,-1.0107529973586884
MACRO_SCHEDULED,-15m,-3,PRE,139,0.23650360814808374,0.2056510399560374,1.1500182940010784,2.158273381294964,0.8181818181818182,2.6378864641659443,46.043165467625904,51.45454545454545,-0.39502196090628755
MONETARY_POLICY,+5m,1,POST,46,0.2739527305260064,0.11596178995538718,2.3624192780408313,4.3478260869565215,1.3636363636363635,3.1884034589389127,45.65217391304348,51.45454545454545,-2.5175519428482818
MONETARY_POLICY,+15m,3,POST,46,0.4589318835728816,0.20587920490585696,2.2291209773311516,6.521739130434782,0.9090909090909091,7.173905152182594,50.0,51.090909090909086,-6.988741570276726
MONETARY_POLICY,+30m,6,POST,46,0.574615815029149,0.2859624331873203,2.0094031206176877,6.521739130434782,1.090909090909091,5.978255389497776,45.65217391304348,51.63636363636363,-7.0282750500268465
MONETARY_POLICY,+1h,12,POST,46,1.1157625851401638,0.3837394996490768,2.9075966340808614,15.217391304347828,1.090909090909091,13.949262575494814,58.69565217391305,52.81818181818182,30.512702578591274
MONETARY_POLICY,+4h,48,POST,46,1.819210222472838,0.802415377805241,2.26716486950169,8.695652173913043,0.45454545454545453,19.130392695744767,52.17391304347826,52.36363636363637,20.92983441973395
MONETARY_POLICY,+12h,144,POST,46,2.1482889766595523,1.4392783568175658,1.492614318744694,0.0,0.45454545454545453,0.0,54.347826086956516,50.90909090909091,31.662068212907528
MONETARY_POLICY,+24h,288,POST,46,2.746210546161161,2.0943799029508114,1.3112278393543289,0.0,0.5454545454545455,0.0,47.82608695652174,48.90909090909091,-24.328963550704763
MONETARY_POLICY,+48h,576,POST,46,3.3688397034661794,2.8715039526693125,1.1731965498908687,0.0,0.45454545454545453,0.0,34.78260869565217,52.27272727272727,-35.883538272654306
MONETARY_POLICY,-24h,-288,PRE,46,1.97250417792125,2.2748300492704345,0.8670991977860754,0.0,1.090909090909091,0.0,65.21739130434783,51.090909090909086,28.253690458544174
MONETARY_POLICY,-12h,-144,PRE,46,1.4637442186138172,1.5334003076354825,0.9545734774877183,0.0,0.8181818181818182,0.0,65.21739130434783,51.72727272727272,35.765363376386055
MONETARY_POLICY,-4h,-48,PRE,46,0.9746673066020544,0.8461507836784508,1.1518823518458023,0.0,1.2727272727272727,0.0,56.52173913043478,52.0,24.204593466689357
MONETARY_POLICY,-1h,-12,PRE,46,0.7438993785734976,0.4095484411893384,1.8163847969446656,4.3478260869565215,1.090909090909091,3.9855035929985174,52.17391304347826,49.63636363636363,23.20125389553758
MONETARY_POLICY,-15m,-3,PRE,46,0.628277390297234,0.2056510399560374,3.055050610884005,15.217391304347828,0.8181818181818182,18.59901108430046,54.347826086956516,51.45454545454545,11.664428219817696
CORPORATE_TREASURY,+5m,1,POST,2,0.13990422034737549,0.11596178995538718,1.2064578680902638,0.0,1.3636363636363635,0.0,50.0,51.45454545454545,-7.92166501978997
CORPORATE_TREASURY,+15m,3,POST,2,0.3220523395888186,0.20587920490585696,1.5642705413863554,0.0,0.9090909090909091,0.0,50.0,51.090909090909086,5.756400597389799
CORPORATE_TREASURY,+30m,6,POST,2,1.62878624782552,0.2859624331873203,5.695785050806073,50.0,1.090909090909091,45.83329131948295,50.0,51.63636363636363,126.57467982006843
CORPORATE_TREASURY,+1h,12,POST,2,1.4403189349670775,0.3837394996490768,3.7533670182954917,50.0,1.090909090909091,45.83329131948295,50.0,52.81818181818182,103.01957773202197
CORPORATE_TREASURY,+4h,48,POST,2,0.9156898419339754,0.802415377805241,1.1411654438541727,0.0,0.45454545454545453,0.0,50.0,52.36363636363637,28.216601912269823
CORPORATE_TREASURY,+12h,144,POST,2,4.776085732505475,1.4392783568175658,3.318386878740499,50.0,0.45454545454545453,109.99975800053241,100.0,50.90909090909091,477.6085732505475
CORPORATE_TREASURY,+24h,288,POST,2,4.0738805559818125,2.0943799029508114,1.945147871737203,0.0,0.5454545454545455,0.0,100.0,48.90909090909091,407.38805559818127
