target,target_description,model_id,model_name,feature_count,r2_discovery_2021_2024,r2_validation_2025,r2_holdout_2026,delta_r2_vs_spot_val,delta_r2_vs_spot_hold,delta_r2_vs_deriv_val,delta_r2_vs_deriv_hold,val_rmse,val_mae,nested_f_statistic_val,nested_p_value_val
fwd_vol_24h,24h Forward Volatility,MODEL_A_SPOT_ONLY,Baseline A: Spot Only,8,0.4717903639058504,0.19077819166485,0.3794607352264685,0.0,0.0,0.0,0.0,0.0005737992984541753,0.0004044368811130104,0.0,1.0
fwd_vol_24h,24h Forward Volatility,MODEL_B_SPOT_DERIV,Baseline B: Spot + Derivatives,21,0.51982759174574,0.26823925791028225,0.3657300854460639,0.07746106624543225,-0.013730649780404613,0.0,0.0,0.0005456457501553364,0.0003821086048765005,0.0,1.0
fwd_vol_24h,24h Forward Volatility,MODEL_C_SPOT_DERIV_SESSION,Experimental C: Spot + Deriv + Session,40,0.5331747663142818,0.2949729065216713,0.3886100323941142,0.1041947148568213,0.009149297167645676,0.02673364861138905,0.02287994694805029,0.0005355858901566176,0.00038027343898287824,209.70788427262485,0.0
fwd_vol_24h,24h Forward Volatility,MODEL_D_SPOT_DERIV_MACRO,Experimental D: Spot + Deriv + Macro,44,0.5424494905860858,0.04699312774251607,0.3479090178452927,-0.14378506392233392,-0.03155171738117579,-0.22124613016776618,-0.01782106760077118,0.0006226933674914272,0.0004527137898105617,0.0,1.0
fwd_vol_24h,24h Forward Volatility,MODEL_E_SPOT_DERIV_SESSION_MACRO,Experimental E: Spot + Deriv + Session + Macro,63,0.5543458792391702,0.06356203950315897,0.35345686674233956,-0.12721615216169102,-0.026003868484128945,-0.20467721840712327,-0.012273218703724331,0.0006172565810059329,0.0004556925529702438,0.0,1.0
fwd_abs_ret_4h,4h Absolute Return Magnitude,MODEL_A_SPOT_ONLY,Baseline A: Spot Only,8,0.1609058585184664,0.10077725107431079,0.09754574656636772,0.0,0.0,0.0,0.0,0.0067370790777555685,0.004567560164151164,0.0,1.0
fwd_abs_ret_4h,4h Absolute Return Magnitude,MODEL_B_SPOT_DERIV,Baseline B: Spot + Derivatives,21,0.17850241705571335,0.11320534419317263,0.0683049781461158,0.012428093118861838,-0.029240768420251917,0.0,0.0,0.006690360750082353,0.004517596328742067,0.0,1.0
fwd_abs_ret_4h,4h Absolute Return Magnitude,MODEL_C_SPOT_DERIV_SESSION,Experimental C: Spot + Deriv + Session,40,0.19483607299914707,0.14892736803357431,0.10029733856006073,0.04815011695926352,0.0027515919936930144,0.035722023840401684,0.03199236041394493,0.006554224527258364,0.004430204426216245,232.13026171410968,0.0
fwd_abs_ret_4h,4h Absolute Return Magnitude,MODEL_D_SPOT_DERIV_MACRO,Experimental D: Spot + Deriv + Macro,44,0.18369848360016272,0.08884893086058199,0.05101911942598003,-0.011928320213728805,-0.04652662714038769,-0.024356413332590643,-0.01728585872013577,0.006781616032701452,0.004653929171512707,0.0,1.0
fwd_abs_ret_4h,4h Absolute Return Magnitude,MODEL_E_SPOT_DERIV_SESSION_MACRO,Experimental E: Spot + Deriv + Session + Macro,63,0.1999630905395392,0.1209748636795216,0.09085624601213427,0.020197612605210802,-0.006689500554233452,0.007769519486348964,0.022551267866018465,0.00666098797189996,0.004589692051560848,22.108762619163784,0.0
