boundary_name,window_offset,offset_bars_5m,sample_size,mean_signed_return_4h,mean_abs_return_4h,mean_realized_vol_4h,mean_range_4h,tail_event_probability_95th
LONDON_OPEN,T-15m,-3,1494,0.0005026645233421851,0.007459550256497051,0.001426077423941405,0.015985696865225524,0.040829986613119144
LONDON_OPEN,T,0,1494,0.0004318474553126147,0.007677919310553727,0.0014285174065365852,0.015969616775199157,0.04819277108433735
LONDON_OPEN,T+15m,3,1494,0.00035910610964315305,0.007594956643655596,0.0014327869689402858,0.01587082973813828,0.04417670682730924
LONDON_OPEN,T+30m,6,1494,0.0004754403544889731,0.007639373659750983,0.0014382778419815285,0.015913573231055335,0.04350736278447122
LONDON_OPEN,T+60m,12,1494,0.0004506424709921693,0.007547138637542722,0.001453067940385981,0.016013494646578964,0.04350736278447122
LONDON_OPEN,T+120m,24,1494,0.00033344121295865225,0.008066015845446306,0.0015971634781071877,0.01741233781673557,0.0428380187416332
LONDON_OPEN,T+4h,48,1494,-8.296995640894871e-05,0.01102410420695933,0.002107774513947335,0.02362410216614665,0.08902275769745649
NEW_YORK_OPEN,T-120m,-24,1494,0.00022454014117188236,0.009046945170587756,0.0018717168526717026,0.020271065628056452,0.049531459170013385
NEW_YORK_OPEN,T-60m,-12,1494,-1.59766827554176e-05,0.010995967848830784,0.0021013211408562253,0.0235283830881844,0.08969210174029452
NEW_YORK_OPEN,T-30m,-6,1494,4.608302101045446e-05,0.011474369406152289,0.002175682863943732,0.024632187724770337,0.09303882195448461
NEW_YORK_OPEN,T-15m,-3,1494,3.1628682728311734e-05,0.01163321812306546,0.0021945175355522054,0.024942390485362134,0.09772423025435073
NEW_YORK_OPEN,T,0,1494,-1.871650431522296e-05,0.012188338460496346,0.002211583309614887,0.025233059826724955,0.1144578313253012
NEW_YORK_OPEN,T+15m,3,1494,-0.00012894178546724738,0.012194820224713684,0.0022262862845994096,0.02535334187860703,0.11378848728246319
NEW_YORK_OPEN,T+30m,6,1494,-0.00030353790431745283,0.012050960474106465,0.0022024308752843814,0.02511072500358217,0.1111111111111111
NEW_YORK_OPEN,T+60m,12,1494,-0.00030480285355610786,0.012367955572160364,0.002195448477620679,0.02523391043372905,0.11044176706827309
NEW_YORK_OPEN,T+120m,24,1494,-0.00025133115647681174,0.011612928090353174,0.002053447134776551,0.023525527206919868,0.10776439089692101
NEW_YORK_OPEN,T+4h,48,1494,-0.00018426497708279934,0.009723046197090982,0.0018569308720420225,0.0207121148154638,0.07295850066934405
US_EQUITY_OPEN,T-120m,-24,1437,7.32456462362098e-05,0.011679637299519641,0.002202625990024332,0.024983712634319817,0.09603340292275574
US_EQUITY_OPEN,T-60m,-12,1437,-0.00029417480324686444,0.012256335085613464,0.0022305445803202555,0.025435381091777353,0.11343075852470424
US_EQUITY_OPEN,T-30m,-6,1437,-0.0002823425389692893,0.012583406560239667,0.0022217082197494896,0.02556621819397553,0.11343075852470424
US_EQUITY_OPEN,T-15m,-3,1437,-0.00024655892704761773,0.01245950596315031,0.0022167375939356236,0.025550502596681603,0.11830201809324982
US_EQUITY_OPEN,T,0,1437,-0.0005613856988987109,0.012328269355220581,0.0021949953428192243,0.025247637874187864,0.12108559498956159
US_EQUITY_OPEN,T+15m,3,1437,-0.00023583357970879813,0.012181800960955875,0.00211380959223067,0.024326383902094947,0.1057759220598469
US_EQUITY_OPEN,T+30m,6,1437,-0.00026718336796719295,0.011743743532259132,0.0020757275985941914,0.0237750940618511,0.10925539318023661
US_EQUITY_OPEN,T+60m,12,1437,-0.0001666929546821587,0.01085267837809356,0.0019943796792474843,0.022333494330860612,0.08907446068197634
US_EQUITY_OPEN,T+120m,24,1437,-0.0003063198883001555,0.010026510321413691,0.0018888213756019015,0.02116012873676707,0.08072372999304106
US_EQUITY_OPEN,T+4h,48,1437,0.00042933697176475785,0.00849256044407602,0.0018160138685491165,0.019724495479547906,0.05915100904662491
US_EQUITY_CLOSE,T-120m,-24,1436,0.0005663153138135586,0.008270731738799829,0.0018007024804292352,0.01924119544721945,0.05013927576601671
US_EQUITY_CLOSE,T-60m,-12,1436,0.0006111340604116097,0.008003064878137553,0.001703113143870719,0.018106710957569373,0.05153203342618384
US_EQUITY_CLOSE,T-30m,-6,1436,0.0008007927249935378,0.007607924415403313,0.0016589905698587229,0.01757044141465946,0.04596100278551532
US_EQUITY_CLOSE,T-15m,-3,1436,0.0006497614437786897,0.007447438779080443,0.001638552498626527,0.01739313048752717,0.04735376044568245
US_EQUITY_CLOSE,T,0,1436,0.0005448739430354103,0.007600357670625454,0.001602125556277672,0.01703258186286368,0.05153203342618384
US_EQUITY_CLOSE,T+15m,3,1436,0.0005227112637578483,0.0073426688652900385,0.0015943829552488814,0.01676573273392135,0.04247910863509749
US_EQUITY_CLOSE,T+30m,6,1436,0.00045297574355865274,0.00727485611501869,0.0015976071884502019,0.016852809202368774,0.04596100278551532
US_EQUITY_CLOSE,T+60m,12,1436,0.0002591718855118359,0.007451176692386628,0.0016001960007060324,0.01701001079508963,0.04665738161559889
US_EQUITY_CLOSE,T+120m,24,1436,6.867297791948758e-05,0.007293605273731592,0.001542852475598168,0.0167711373230756,0.04178272980501393
US_EQUITY_CLOSE,T+4h,48,1436,-0.00024363801321745977,0.0074993418299509305,0.0014671817214248414,0.016455176873308462,0.04247910863509749
