timeframe,timestamp_open,timestamp_close,datetime_open_utc,event_type,event_score,is_significant,close_price,return_simple,normalized_range,volume,volatility_realized,regime_during,event_id,global_event_id,pre_return_1h,pre_vol_mean_1h,pre_return_4h,pre_vol_mean_4h,pre_return_12h,pre_vol_mean_12h,pre_return_24h,pre_vol_mean_24h,pre_return_3d,pre_vol_mean_3d,pre_return_7d,pre_vol_mean_7d,post_return_1h,post_mfe_1h,post_mae_1h,post_return_4h,post_mfe_4h,post_mae_4h,post_return_12h,post_mfe_12h,post_mae_12h,post_return_24h,post_mfe_24h,post_mae_24h,post_return_3d,post_mfe_3d,post_mae_3d,post_return_7d,post_mfe_7d,post_mae_7d,outcome_classification
5m,1788607500000,1788607799999,2026-09-05 11:25:00+00:00,COMPRESSION,0.0562,False,79623.95,-7.535415510462329e-07,5.036173161460542e-05,9.5282,0.0002883310271371755,LOW_VOLATILITY_COMPRESSION,5m_145,GEV_0015,0.0001,21.13,-0.00117,27.74,-0.00141,23.87,-0.02105,54.4,0.04081,56.51,0.01251,53.94,0.00039,0.0007,-0.0002,0.00087,0.0019,-0.00098,0.00226,0.00723,-0.00098,0.0035,0.00723,-0.00098,-0.01483,0.01176,-0.01813,-0.02928,0.01176,-0.04493,COMPRESSION_REGIME
5m,1788607800000,1788608099999,2026-09-05 11:30:00+00:00,COMPRESSION,0.1505,False,79636.0,0.00015133637555031498,0.0001514390476668551,9.48807,0.0002676806399991936,LOW_VOLATILITY_COMPRESSION,5m_146,GEV_0015,-0.00013,19.48,-0.00139,27.65,-0.00061,23.76,-0.01984,54.23,0.03896,56.46,0.01266,53.91,0.00058,0.00073,-0.00035,0.001,0.00174,-0.00113,0.00256,0.00708,-0.00113,0.00422,0.00708,-0.00113,-0.01449,0.0116,-0.01828,-0.02933,0.0116,-0.04507,COMPRESSION_REGIME
5m,1788608100000,1788608399999,2026-09-05 11:35:00+00:00,COMPRESSION,0.047,False,79635.93,-8.789994475622009e-07,8.790002202144801e-07,10.73168,0.00024043931145275454,LOW_VOLATILITY_COMPRESSION,5m_147,GEV_0015,0.00025,17.79,-0.00119,27.05,-0.00049,23.78,-0.02037,54.12,0.0381,56.42,0.01266,53.88,0.00096,0.00096,-0.00035,0.00123,0.00174,-0.00113,0.00203,0.00708,-0.00113,0.00349,0.00708,-0.00113,-0.01512,0.0116,-0.01828,-0.02905,0.0116,-0.04507,COMPRESSION_REGIME
5m,1788609900000,1788610199999,2026-09-05 12:05:00+00:00,COMPRESSION,0.2207,False,79673.98,0.0002481978039827748,0.00024838724010032073,9.14389,0.0002929872880111046,LOW_VOLATILITY_COMPRESSION,5m_148,GEV_0015,0.0003,17.9,0.00036,26.81,0.0003,24.2,-0.01906,53.5,0.03756,56.17,0.01315,53.72,0.00015,0.00126,-0.00077,0.00138,0.00218,-0.00161,0.00295,0.0066,-0.00161,0.00279,0.0066,-0.00161,-0.01665,0.01112,-0.01875,-0.02904,0.01112,-0.04553,COMPRESSION_REGIME
5m,1788610500000,1788610799999,2026-09-05 12:15:00+00:00,COMPRESSION,0.1134,False,79656.24,-7.807943666315875e-05,7.83366124236499e-05,9.65038,0.0002800514964730567,LOW_VOLATILITY_COMPRESSION,5m_149,GEV_0015,0.0004,13.69,-0.0001,26.09,0.00038,24.12,-0.01865,53.21,0.03638,56.07,0.01292,53.65,0.00055,0.00148,-0.00055,0.00188,0.0024,-0.00138,0.0032,0.00683,-0.00138,0.00389,0.00683,-0.00138,-0.0174,0.01135,-0.01853,-0.02938,0.01135,-0.04532,COMPRESSION_REGIME
5m,1788610800000,1788611099999,2026-09-05 12:20:00+00:00,COMPRESSION,0.222,False,79676.0,0.00024806593934134646,0.00024812992620116566,9.24617,0.0002864184126927803,LOW_VOLATILITY_COMPRESSION,5m_150,GEV_0015,0.00065,13.82,0.00034,25.62,0.00048,24.01,-0.01897,53.08,0.03499,56.02,0.01317,53.61,0.00108,0.00123,-0.0008,0.00236,0.00236,-0.00163,0.00244,0.00658,-0.00163,0.00403,0.00658,-0.00163,-0.01697,0.01109,-0.01878,-0.02962,0.01109,-0.04555,COMPRESSION_REGIME
5m,1788627000000,1788627299999,2026-09-05 16:50:00+00:00,BREAKOUT_CANDIDATE,0.9599,False,80098.85,0.0013607950993874685,0.0016535817929969915,76.13456,0.0006493493897493907,HIGH_VOLATILITY,5m_151,GEV_0017,0.00421,49.88,0.00446,37.98,0.00692,31.13,0.00447,29.2,0.03667,54.18,0.01855,53.01,-0.00046,0.00126,-0.00165,-0.00436,0.00126,-0.00505,-0.00232,0.00126,-0.00505,-0.00512,0.00126,-0.01081,-0.01637,0.00576,-0.03095,-0.03439,0.00576,-0.05059,FALSE_BREAKOUT_CANDIDATE
5m,1788627900000,1788628199999,2026-09-05 17:05:00+00:00,UPWARD_EXPANSION,0.9517,False,80116.06,0.0010069285530527328,0.001725621554529766,100.85009,0.0006743843376774359,HIGH_VOLATILITY,5m_152,GEV_0017,0.00416,70.06,0.0054,42.57,0.00826,32.89,0.00532,29.42,0.039,54.43,0.01877,53.14,-0.0013,0.00058,-0.00178,-0.00424,0.00058,-0.00527,-0.00326,0.00058,-0.00527,-0.00662,0.00058,-0.01102,-0.01755,0.00554,-0.03116,-0.03398,0.00554,-0.05079,FAILED_EXPANSION
5m,1788628500000,1788628799999,2026-09-05 17:15:00+00:00,DOWNWARD_EXPANSION,0.9661,False,80049.57,-0.0010285530160925038,0.0017284290221671469,69.7196,0.0007798533645171215,HIGH_VOLATILITY,5m_153,GEV_0017,0.00306,73.69,0.00439,42.72,0.00618,32.72,0.0057,29.46,0.03912,54.45,0.01792,53.14,-0.00032,0.00128,-0.00095,-0.00269,0.00128,-0.00444,-0.00317,0.00128,-0.00444,-0.00399,0.00128,-0.0102,-0.01761,0.00638,-0.03035,-0.03408,0.00638,-0.05001,FAILED_EXPANSION
5m,1788636600000,1788636899999,2026-09-05 19:30:00+00:00,DOWNWARD_EXPANSION,0.967,False,79784.27,-0.002234285311956241,0.002339558913053958,53.1139,0.0007258205689524523,HIGH_VOLATILITY,5m_154,GEV_0019,-0.0025,16.65,0.00086,45.23,0.00047,34.81,0.00035,30.54,0.03429,54.67,0.01455,52.84,-0.0008,0.00234,-0.00113,0.0007,0.00234,-0.00113,0.00049,0.00406,-0.0026,0.00055,0.00406,-0.00691,-0.01667,0.00972,-0.02713,-0.0331,0.00972,-0.04685,FAILED_EXPANSION
5m,1788637500000,1788637799999,2026-09-05 19:45:00+00:00,DOWNWARD_EXPANSION,0.9536,False,79744.65,-0.0013863815778929478,0.0018001207604523052,37.76083,0.0009099384417817463,HIGH_VOLATILITY,5m_155,GEV_0019,-0.00251,18.1,-9e-05,44.74,0.00021,34.73,6e-05,30.51,0.0327,54.67,0.01404,52.78,0.00019,0.0014,-0.00064,0.00082,0.00255,-0.00064,0.00118,0.00456,-0.0021,0.00084,0.00456,-0.00642,-0.01666,0.01022,-0.02664,-0.03295,0.01022,-0.04637,FAILED_EXPANSION
5m,1788671100000,1788671399999,2026-09-06 05:05:00+00:00,COMPRESSION,0.1155,False,79854.97,-1.4901793424559884e-05,0.0001577860463789019,13.38721,0.0001852527399885676,LOW_VOLATILITY_COMPRESSION,5m_156,GEV_0020,-0.00141,32.55,-0.00151,24.8,-0.00326,32.17,0.00497,32.3,0.02781,54.71,0.01545,51.08,0.00104,0.00317,-0.00076,0.00019,0.00317,-0.00348,-0.00337,0.00317,-0.00779,-0.00147,0.00883,-0.00779,-0.00909,0.00883,-0.02799,-0.03277,0.00883,-0.04769,COMPRESSION_REGIME
